Symbol,Date,Close
SnP,2005-10-17,1190.1
SnP,2005-10-18,1178.14
SnP,2005-10-19,1195.76
SnP,2005-10-20,1177.8
SnP,2005-10-21,1179.59
SnP,2005-10-24,1199.38
SnP,2005-10-25,1196.54
SnP,2005-10-26,1191.38
SnP,2005-10-27,1178.9
SnP,2005-10-28,1198.41
SnP,2005-10-31,1207.01
SnP,2005-11-01,1202.76
SnP,2005-11-02,1214.76
SnP,2005-11-03,1219.94
SnP,2005-11-04,1220.14
SnP,2005-11-07,1222.81
SnP,2005-11-08,1218.59
SnP,2005-11-09,1220.65
SnP,2005-11-10,1230.96
SnP,2005-11-11,1234.72
SnP,2005-11-14,1233.76
SnP,2005-11-15,1229.01
SnP,2005-11-16,1231.21
SnP,2005-11-17,1242.8
SnP,2005-11-18,1248.27
SnP,2005-11-21,1254.85
SnP,2005-11-22,1261.23
SnP,2005-11-23,1265.61
SnP,2005-11-25,1268.25
SnP,2005-11-28,1257.46
SnP,2005-11-29,1257.48
SnP,2005-11-30,1249.48
SnP,2005-12-01,1264.67
SnP,2005-12-02,1265.08
SnP,2005-12-05,1262.09
SnP,2005-12-06,1263.7
SnP,2005-12-07,1257.37
SnP,2005-12-08,1255.84
SnP,2005-12-09,1259.37
SnP,2005-12-12,1260.43
SnP,2005-12-13,1267.43
SnP,2005-12-14,1272.74
SnP,2005-12-15,1270.94
SnP,2005-12-16,1267.32
SnP,2005-12-19,1259.92
SnP,2005-12-20,1259.62
SnP,2005-12-21,1262.79
SnP,2005-12-22,1268.12
SnP,2005-12-23,1268.66
SnP,2005-12-27,1256.54
SnP,2005-12-28,1258.17
SnP,2005-12-29,1254.42
SnP,2005-12-30,1248.29
SnP,2006-01-03,1268.8
SnP,2006-01-04,1273.46
SnP,2006-01-05,1273.48
SnP,2006-01-06,1285.45
SnP,2006-01-09,1290.15
SnP,2006-01-10,1289.69
SnP,2006-01-11,1294.18
SnP,2006-01-12,1286.06
SnP,2006-01-13,1287.61
SnP,2006-01-17,1282.93
SnP,2006-01-18,1277.93
SnP,2006-01-19,1285.04
SnP,2006-01-20,1261.49
SnP,2006-01-23,1263.82
SnP,2006-01-24,1266.86
SnP,2006-01-25,1264.68
SnP,2006-01-26,1273.83
SnP,2006-01-27,1283.72
SnP,2006-01-30,1285.19
SnP,2006-01-31,1280.08
SnP,2006-02-01,1282.46
SnP,2006-02-02,1270.84
SnP,2006-02-03,1264.03
SnP,2006-02-06,1265.02
SnP,2006-02-07,1254.78
SnP,2006-02-08,1265.65
SnP,2006-02-09,1263.78
SnP,2006-02-10,1266.99
SnP,2006-02-13,1262.86
SnP,2006-02-14,1275.53
SnP,2006-02-15,1280.0
SnP,2006-02-16,1289.38
SnP,2006-02-17,1287.24
SnP,2006-02-21,1283.03
SnP,2006-02-22,1292.67
SnP,2006-02-23,1287.79
SnP,2006-02-24,1289.43
SnP,2006-02-27,1294.12
SnP,2006-02-28,1280.66
SnP,2006-03-01,1291.24
SnP,2006-03-02,1289.14
SnP,2006-03-03,1287.23
SnP,2006-03-06,1278.26
SnP,2006-03-07,1275.88
SnP,2006-03-08,1278.47
SnP,2006-03-09,1272.23
SnP,2006-03-10,1281.42
SnP,2006-03-13,1284.13
SnP,2006-03-14,1297.48
SnP,2006-03-15,1303.02
SnP,2006-03-16,1305.33
SnP,2006-03-17,1307.25
SnP,2006-03-20,1305.08
SnP,2006-03-21,1297.23
SnP,2006-03-22,1305.04
